playlist	position	id	title	channel	channel_id	uploader	uploader_id	artist	album	release_year	availability
p1	53	gZPSuwvz4ro	(no title)								
p1	87	UqHb_NtArMA	(no title)								
p1	95	mQXb6Gp1h9U	NO SIGNAL Eclipse	syncmusic - Topic	UCsWZ_x8fDr7mLcJiXMY5Jyg	syncmusic - Topic					
p1	101	vYn1b8gcmrY	FAAAHHH	Samrai Blade	UC1fEhJT0kjDEEI5th0x3znQ	Samrai Blade					
p1	114	gsG6jkkuC00	Цепи (feat. 104)	Skryptonite	UCA4p9Fbyuqp3T4adn2WoCTg	Skryptonite					
p1	163	CtJfE9cv7lc	The Time Is Now	John Cena - Topic	UC5sKvEdyj7zIZQoCO8yoGpg	John Cena - Topic					
p1	210	9R_VzlxPyzA	(no title)								
p1	215	gHFHXIG6Rro	Take Me to the Hospital	The Prodigy	UC7IZbkKDd20v6Ni_vFX63rQ	The Prodigy					
p1	240	qlJBj3mAz2c	Mask Off (Epic Version)	Sanks	UCLRB-iHXQkN3oVonl8SZcgA	Sanks					
p1	246	JZgCs4hCd20	Warrior's Dance	The Prodigy	UC7IZbkKDd20v6Ni_vFX63rQ	The Prodigy					
p1	283	vfRcnAwimh4	Face the Music	Everett Dejean - Topic	UCRVDjwWcCCRXcoloMc-TnUQ	Everett Dejean - Topic					
p1	320	KsWhXozSi2g	(no title)								
p1	321	__dQcNsxhTI	Dragon Smasher	Evan Call - Topic	UCu4AV2t-2M9BGY07qyyFxgw	Evan Call - Topic					
p1	327	nPZP8y5tGh0	MATADORA (Ultra Slowed)	DJ Asul	UCoZDo732E-nyXHlHb8dgaUg	DJ Asul					
p1	330	ODSYH-CkiWA	FOCUS 2 (Over Slowed)	quietshadow	UCaKhWx6Az_LiiNFb-7VoRxA	quietshadow					
p1	349	qXDTiTH_1ok	L'amour Toujours (Organ Penguin Version)	Penguin Master - Topic	UCnbv6_XoPDcl9tHP_1NXgNw	Penguin Master - Topic					
p1	352	IuYsaw0qX9Y	Papaoutai (Afro Soul)	mikeeysmind	UCsqfUqT46FCt5v7k-v_z2Yw	mikeeysmind					
p1	378	CaIenzfJJQ4	MONTAGEM DO MEDO (Mega Slowed)	SEKIRX - Topic	UC_iiNMWICPadbFcrHRHwKqw	SEKIRX - Topic					
p1	383	LOK7wZaVlLU	Instant Hit	insectt0s - Topic	UCcXf2vlHZV5JE_m2-2kz-9g	insectt0s - Topic					
p1	397	443p6mmPCwk	Menace 1 (Slowed + Reverb)	Sluwøp	UC65v-9IUXnYCioBB6dSKI5A	Sluwøp					
p1	466	oSYkJcln9NI	(no title)								
p1	500	p5J7afpqcPY	MONTAGEM XONADA (Slowed)	MXZI	UCAQ2Go2JWMGt60kYXsWy-bQ	MXZI					
