playlist	position	id	recovered_title	earliest_snapshot_date	evidence_url	status
p1	53	gZPSuwvz4ro	sakio! - STORM FUNK	2025-06-17	https://web.archive.org/web/20250815153426id_/https://www.youtube.com/watch?v=gZPSuwvz4ro&list=RDMM&index=17	recovered
p1	87	UqHb_NtArMA	Nightcore - Mi Mi Mi (Rock Version) (Lyrics)	2026-05-12	https://web.archive.org/web/20260513233308id_/https://www.youtube.com/watch?v=UqHb_NtArMA	recovered
p1	210	9R_VzlxPyzA				no snapshots
p1	320	KsWhXozSi2g		2026-02-19		not found
p1	466	oSYkJcln9NI				no snapshots
p1	544	1QnAsHJm_24	Ludacris - Get Back (Lyrics)	2025-08-14	https://web.archive.org/web/20250814002851id_/https://www.youtube.com/watch?v=1QnAsHJm_24&feature=youtu.be	recovered
p1	549	6w6MDTbPrgg				no snapshots
p1	566	HWqKPWO5T4o		2020-10-06		not found
p1	626	nlFYAYuy7So	BOAT KID AURA FARMING X YOUNG BLACK & RICH [TIKTOK VERSION EXTENDED]	2025-07-19	https://web.archive.org/web/20250729184643id_/https://www.youtube.com/watch?si=uEM_X6up8457JnWQ&v=nlFYAYuy7So&feature=youtu.be	recovered
p1	754	eNGDWBVel6w	Kali Uchis - Moonlight	2023-09-06	https://web.archive.org/web/20230906152812id_/https://www.youtube.com/watch?v=eNGDWBVel6w	recovered
p1	756	Nw1R4TpAkcU				no snapshots
p1	762	PQJ8y--y16k				no snapshots
p1	772	eTMQ-u8PQi8	PASSO BEM SOLTO (Ultra Slowed)	2025-03-22	https://web.archive.org/web/20250406002858id_/https://www.youtube.com/watch?v=eTMQ-u8PQi8	recovered
p1	784	AV58Skh6t1U	me and the devil - instrumental	2023-05-25	https://web.archive.org/web/20230525060630id_/https://www.youtube.com/watch?v=AV58Skh6t1U&t=0s	recovered
p1	829	Ajq_g24Ttzc	The Notorious B.I.G. - Hypnotize (Lyrics)	2022-08-13	https://web.archive.org/web/20220813010601id_/https://www.youtube.com/watch?v=Ajq_g24Ttzc	recovered
p1	883	yQs7iZ6MhzY	Lya Funk	2024-06-23	https://web.archive.org/web/20241213184615id_/https://www.youtube.com/watch?v=yQs7iZ6MhzY	recovered
p1	891	fepB-s-nDIc	BLAH!	2024-11-25	https://web.archive.org/web/20241125211503id_/https://www.youtube.com/watch?si=QbNKVSOL7JByl4tl&v=fepB-s-nDIc&feature=youtu.be	recovered
p1	897	iF0oTjm2vEE		2025-02-09		not found
p1	905	4qoXWufGWkY				no snapshots
p1	917	QkuYMngedUQ	Metro Boomin, Future, Chris Brown - Superhero (Heroes & Villains) (Lyrics)	2022-12-30	https://web.archive.org/web/20221230233749id_/https://www.youtube.com/watch?v=QkuYMngedUQ	recovered
p1	929	xTF2Q4VIJoc	SHOGUN - 2 FAST 2 FURIOUS (PROD. SLVG) Toyota Supra Night Showtime	2022-10-09	https://web.archive.org/web/20221009121525id_/https://www.youtube.com/watch?autoplay=1&v=xTF2Q4VIJoc&feature=youtu.be	recovered
p1	975	iAv3oBSOmF8	50 Cent - Many Men (Wish Death) [Lyrics]	2020-11-01	https://web.archive.org/web/20201101202623id_/https://www.youtube.com/watch?v=iAv3oBSOmF8	recovered
p1	976	F8UYGQeavRw	Mötley Crüe - kickstart my heart (WITH lyrics)	2010-08-10	https://web.archive.org/web/20141010044749id_/https://www.youtube.com/watch?v=F8UYGQeavRw	recovered
p1	999	tIu2kBFYqUY	SICKICK - Gangsta Paradise | Baby I'm A Gangster Too TikTok Remix	2023-02-28	https://web.archive.org/web/20230228034818id_/https://www.youtube.com/watch?v=tIu2kBFYqUY	recovered
p1	1007	SiqSl6x3XAY				no snapshots
p1	1018	FPnckbJPM_I				no snapshots
p1	1028	9DBADBtjQbs	Woops - DJ Bountyhunter (Slowed and Reverb)	2024-09-09	https://web.archive.org/web/20240915230648id_/https://www.youtube.com/watch?v=9DBADBtjQbs	recovered
p1	1060	ohCJcu-XM_c				no snapshots
p1	1141	vQMa1XAymm8	Solas x Interstellar	2024-01-24	https://web.archive.org/web/20240124055403id_/https://www.youtube.com/watch?v=vQMa1XAymm8	recovered
p1	1143	KrniOQZ14jo	Charly Black - Gyal You A Party Animal (Sped Up/Lyrics) "Flip it like a flipper gyal" [Tiktok Song]	2023-03-20	https://web.archive.org/web/20230320230435id_/https://www.youtube.com/watch?v=KrniOQZ14jo	recovered
p1	1161	Wl2fIy4sHB4	Ludacris - Act a Fool (Lyrics)	2023-05-03	https://web.archive.org/web/20230503025652id_/https://www.youtube.com/watch?v=Wl2fIy4sHB4&pp=ygUKYWN0IGEgZm9vbA%3D%3D	recovered
p1	1164	nafgjey_pLo	Time Back (Instumental Version)	2022-03-05	https://web.archive.org/web/20220305153824id_/https://www.youtube.com/watch?v=nafgjey_pLo	recovered
p1	1180	caadly0-szM	Anatomy	2022-04-06	https://web.archive.org/web/20220406014551id_/https://www.youtube.com/watch?v=caadly0-szM&gl=US&hl=en	recovered
p1	1181	GCnaOCilsAI	Meg Myers - Desire - HQ - Lyrics	2021-07-03	https://web.archive.org/web/20210703230923id_/https://www.youtube.com/watch?v=GCnaOCilsAI	recovered
p1	1193	9lhYFSRYNiU	MONTAGEM CORAL	2023-10-23	https://web.archive.org/web/20231023195325id_/https://www.youtube.com/watch?v=9lhYFSRYNiU	recovered
p1	1194	feip67YM1j0		2024-04-06		not found
